시도시군구명,지점명,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도
서울 서울동대문4,서울특별시 동대문구 이문동(외국어대 부근),4,4,0,2,2,0,127.0599764,37.59593778
서울 서울광진1,서울특별시 광진구 화양동(건대입구역 부근),6,7,0,3,3,1,127.0708892,37.54071824
서울 서울광진2,서울특별시 광진구 광장동(광진교북단삼거리 부근),4,4,0,3,1,0,127.1060346,37.54670651
서울 서울마포1,서울특별시 마포구 신수동(신촌현대백화점 부근),11,18,1,6,8,3,126.9351228,37.55573618
서울 서울마포2,서울특별시 마포구 공덕동(공덕오거리 부근),7,8,2,3,3,0,126.9510425,37.54415878
서울 서울마포3,서울특별시 마포구 공덕동(신한은행 부근),4,4,0,3,1,0,126.9614876,37.55091292
서울 서울영등포1,서울특별시 영등포구 영등포동1가(선한치과 부근),17,18,1,14,2,1,126.9078424,37.51940183
서울 서울영등포2,서울특별시 영등포구 신길동(신길삼거리_노량진로_진입 부근),9,11,0,7,2,2,126.919218,37.51407028
서울 서울영등포3,서울특별시 영등포구 영등포동7가(영등포전화국 부근),8,8,3,3,2,0,126.9053049,37.52460239
서울 서울영등포4,서울특별시 영등포구 신길동(도림신용협동조합 부근),7,7,0,3,3,1,126.9101101,37.50381524
서울 서울영등포5,서울특별시 영등포구 문래동3가(문래고가교(서측) 부근),6,6,0,4,1,1,126.8941594,37.51215171
서울 서울영등포6,서울특별시 영등포구 당산동1가(영등포유통상가 부근),5,5,1,2,1,1,126.8958374,37.52139157
서울 서울영등포7,서울특별시 영등포구 양평동4가(양평동사거리 부근),5,5,0,3,1,1,126.8966593,37.53455547
서울 서울영등포8,서울특별시 영등포구 대림동(신림고가차도앞 부근),4,4,0,2,2,0,126.8971135,37.50484026
서울 서울영등포9,서울특별시 영등포구 신길동(대진목재 부근),4,5,0,1,4,0,126.9038833,37.50465614
서울 서울금천1,서울특별시 관악구 신림동(디지털단지입구 부근),16,16,1,7,8,0,126.9001658,37.48291762
